,Month,Month-Year,Quarter,Quarter-Year,Year,Jobs,Topic,MSA
0,January,Jan-12,Q1,Q1-2012,2012,4576,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
1,February,Feb-12,Q1,Q1-2012,2012,3039,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
2,March,Mar-12,Q1,Q1-2012,2012,5001,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
3,April,Apr-12,Q2,Q2-2012,2012,3168,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
4,May,May-12,Q2,Q2-2012,2012,4169,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
5,June,Jun-12,Q2,Q2-2012,2012,5037,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
6,July,Jul-12,Q3,Q3-2012,2012,5918,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
7,August,Aug-12,Q3,Q3-2012,2012,7786,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
8,September,Sep-12,Q3,Q3-2012,2012,5345,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
9,October,Oct-12,Q4,Q4-2012,2012,4331,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
10,November,Nov-12,Q4,Q4-2012,2012,5038,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
11,December,Dec-12,Q4,Q4-2012,2012,4604,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
12,January,Jan-13,Q1,Q1-2013,2013,6372,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
13,February,Feb-13,Q1,Q1-2013,2013,4969,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
14,March,Mar-13,Q1,Q1-2013,2013,4152,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
15,April,Apr-13,Q2,Q2-2013,2013,3564,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
16,May,May-13,Q2,Q2-2013,2013,4965,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
17,June,Jun-13,Q2,Q2-2013,2013,4729,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
18,July,Jul-13,Q3,Q3-2013,2013,5213,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
19,August,Aug-13,Q3,Q3-2013,2013,3453,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
20,September,Sep-13,Q3,Q3-2013,2013,2903,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
21,October,Oct-13,Q4,Q4-2013,2013,3700,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
22,November,Nov-13,Q4,Q4-2013,2013,2971,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
23,December,Dec-13,Q4,Q4-2013,2013,3950,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
24,January,Jan-14,Q1,Q1-2014,2014,4584,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
25,February,Feb-14,Q1,Q1-2014,2014,3369,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
26,March,Mar-14,Q1,Q1-2014,2014,3624,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
27,April,Apr-14,Q2,Q2-2014,2014,4893,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
28,May,May-14,Q2,Q2-2014,2014,4061,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
29,June,Jun-14,Q2,Q2-2014,2014,3577,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
30,July,Jul-14,Q3,Q3-2014,2014,3296,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
31,August,Aug-14,Q3,Q3-2014,2014,3742,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
32,September,Sep-14,Q3,Q3-2014,2014,4008,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
33,October,Oct-14,Q4,Q4-2014,2014,5578,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
34,November,Nov-14,Q4,Q4-2014,2014,5804,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
35,December,Dec-14,Q4,Q4-2014,2014,6774,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
36,January,Jan-15,Q1,Q1-2015,2015,6452,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
37,February,Feb-15,Q1,Q1-2015,2015,7437,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
38,March,Mar-15,Q1,Q1-2015,2015,8141,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
39,April,Apr-15,Q2,Q2-2015,2015,8165,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
40,May,May-15,Q2,Q2-2015,2015,8138,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
41,June,Jun-15,Q2,Q2-2015,2015,6393,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
42,July,Jul-15,Q3,Q3-2015,2015,6844,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
43,August,Aug-15,Q3,Q3-2015,2015,6129,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
44,September,Sep-15,Q3,Q3-2015,2015,5766,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
45,October,Oct-15,Q4,Q4-2015,2015,0,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
46,November,Nov-15,Q4,Q4-2015,2015,5908,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
47,December,Dec-15,Q4,Q4-2015,2015,5702,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
48,January,Jan-16,Q1,Q1-2016,2016,7636,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
49,February,Feb-16,Q1,Q1-2016,2016,6808,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
50,March,Mar-16,Q1,Q1-2016,2016,5479,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
51,April,Apr-16,Q2,Q2-2016,2016,5116,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
52,May,May-16,Q2,Q2-2016,2016,4590,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
53,June,Jun-16,Q2,Q2-2016,2016,4324,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
54,July,Jul-16,Q3,Q3-2016,2016,4750,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
55,August,Aug-16,Q3,Q3-2016,2016,4213,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
56,September,Sep-16,Q3,Q3-2016,2016,3931,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
57,October,Oct-16,Q4,Q4-2016,2016,4290,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
58,November,Nov-16,Q4,Q4-2016,2016,3834,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
59,December,Dec-16,Q4,Q4-2016,2016,3485,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
60,January,Jan-17,Q1,Q1-2017,2017,3476,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
61,February,Feb-17,Q1,Q1-2017,2017,3735,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
62,March,Mar-17,Q1,Q1-2017,2017,4334,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
63,April,Apr-17,Q2,Q2-2017,2017,4661,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
64,May,May-17,Q2,Q2-2017,2017,4819,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
65,June,Jun-17,Q2,Q2-2017,2017,5807,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
66,July,Jul-17,Q3,Q3-2017,2017,5465,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
67,August,Aug-17,Q3,Q3-2017,2017,5532,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
68,September,Sep-17,Q3,Q3-2017,2017,4565,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
69,October,Oct-17,Q4,Q4-2017,2017,5351,Web Development,"San Jose-Sunnyvale-Santa Clara, CA"
