,Month,Month-Year,Quarter,Quarter-Year,Year,Jobs,Topic,MSA
0,January,Jan-12,Q1,Q1-2012,2012,3939,Web Development,"Boston-Cambridge-Nashua, MA-NH"
1,February,Feb-12,Q1,Q1-2012,2012,4596,Web Development,"Boston-Cambridge-Nashua, MA-NH"
2,March,Mar-12,Q1,Q1-2012,2012,3818,Web Development,"Boston-Cambridge-Nashua, MA-NH"
3,April,Apr-12,Q2,Q2-2012,2012,2925,Web Development,"Boston-Cambridge-Nashua, MA-NH"
4,May,May-12,Q2,Q2-2012,2012,3585,Web Development,"Boston-Cambridge-Nashua, MA-NH"
5,June,Jun-12,Q2,Q2-2012,2012,3161,Web Development,"Boston-Cambridge-Nashua, MA-NH"
6,July,Jul-12,Q3,Q3-2012,2012,2440,Web Development,"Boston-Cambridge-Nashua, MA-NH"
7,August,Aug-12,Q3,Q3-2012,2012,2597,Web Development,"Boston-Cambridge-Nashua, MA-NH"
8,September,Sep-12,Q3,Q3-2012,2012,2807,Web Development,"Boston-Cambridge-Nashua, MA-NH"
9,October,Oct-12,Q4,Q4-2012,2012,3919,Web Development,"Boston-Cambridge-Nashua, MA-NH"
10,November,Nov-12,Q4,Q4-2012,2012,3362,Web Development,"Boston-Cambridge-Nashua, MA-NH"
11,December,Dec-12,Q4,Q4-2012,2012,3966,Web Development,"Boston-Cambridge-Nashua, MA-NH"
12,January,Jan-13,Q1,Q1-2013,2013,6208,Web Development,"Boston-Cambridge-Nashua, MA-NH"
13,February,Feb-13,Q1,Q1-2013,2013,5032,Web Development,"Boston-Cambridge-Nashua, MA-NH"
14,March,Mar-13,Q1,Q1-2013,2013,3799,Web Development,"Boston-Cambridge-Nashua, MA-NH"
15,April,Apr-13,Q2,Q2-2013,2013,0,Web Development,"Boston-Cambridge-Nashua, MA-NH"
16,May,May-13,Q2,Q2-2013,2013,3495,Web Development,"Boston-Cambridge-Nashua, MA-NH"
17,June,Jun-13,Q2,Q2-2013,2013,3435,Web Development,"Boston-Cambridge-Nashua, MA-NH"
18,July,Jul-13,Q3,Q3-2013,2013,4409,Web Development,"Boston-Cambridge-Nashua, MA-NH"
19,August,Aug-13,Q3,Q3-2013,2013,3552,Web Development,"Boston-Cambridge-Nashua, MA-NH"
20,September,Sep-13,Q3,Q3-2013,2013,3709,Web Development,"Boston-Cambridge-Nashua, MA-NH"
21,October,Oct-13,Q4,Q4-2013,2013,3510,Web Development,"Boston-Cambridge-Nashua, MA-NH"
22,November,Nov-13,Q4,Q4-2013,2013,4388,Web Development,"Boston-Cambridge-Nashua, MA-NH"
23,December,Dec-13,Q4,Q4-2013,2013,3378,Web Development,"Boston-Cambridge-Nashua, MA-NH"
24,January,Jan-14,Q1,Q1-2014,2014,3447,Web Development,"Boston-Cambridge-Nashua, MA-NH"
25,February,Feb-14,Q1,Q1-2014,2014,3329,Web Development,"Boston-Cambridge-Nashua, MA-NH"
26,March,Mar-14,Q1,Q1-2014,2014,4310,Web Development,"Boston-Cambridge-Nashua, MA-NH"
27,April,Apr-14,Q2,Q2-2014,2014,4776,Web Development,"Boston-Cambridge-Nashua, MA-NH"
28,May,May-14,Q2,Q2-2014,2014,4306,Web Development,"Boston-Cambridge-Nashua, MA-NH"
29,June,Jun-14,Q2,Q2-2014,2014,3108,Web Development,"Boston-Cambridge-Nashua, MA-NH"
30,July,Jul-14,Q3,Q3-2014,2014,2883,Web Development,"Boston-Cambridge-Nashua, MA-NH"
31,August,Aug-14,Q3,Q3-2014,2014,4409,Web Development,"Boston-Cambridge-Nashua, MA-NH"
32,September,Sep-14,Q3,Q3-2014,2014,3668,Web Development,"Boston-Cambridge-Nashua, MA-NH"
33,October,Oct-14,Q4,Q4-2014,2014,5013,Web Development,"Boston-Cambridge-Nashua, MA-NH"
34,November,Nov-14,Q4,Q4-2014,2014,3636,Web Development,"Boston-Cambridge-Nashua, MA-NH"
35,December,Dec-14,Q4,Q4-2014,2014,4042,Web Development,"Boston-Cambridge-Nashua, MA-NH"
36,January,Jan-15,Q1,Q1-2015,2015,4719,Web Development,"Boston-Cambridge-Nashua, MA-NH"
37,February,Feb-15,Q1,Q1-2015,2015,5320,Web Development,"Boston-Cambridge-Nashua, MA-NH"
38,March,Mar-15,Q1,Q1-2015,2015,6843,Web Development,"Boston-Cambridge-Nashua, MA-NH"
39,April,Apr-15,Q2,Q2-2015,2015,5723,Web Development,"Boston-Cambridge-Nashua, MA-NH"
40,May,May-15,Q2,Q2-2015,2015,5284,Web Development,"Boston-Cambridge-Nashua, MA-NH"
41,June,Jun-15,Q2,Q2-2015,2015,5898,Web Development,"Boston-Cambridge-Nashua, MA-NH"
42,July,Jul-15,Q3,Q3-2015,2015,6257,Web Development,"Boston-Cambridge-Nashua, MA-NH"
43,August,Aug-15,Q3,Q3-2015,2015,6221,Web Development,"Boston-Cambridge-Nashua, MA-NH"
44,September,Sep-15,Q3,Q3-2015,2015,5738,Web Development,"Boston-Cambridge-Nashua, MA-NH"
